method,num_groups,baseline_train_time,baseline_prec@5,baseline_ndcg@5,naive_unlearn_time,naive_prec_after@5,naive_ndcg_after@5,sisa_train_time,sisa_prec_before@5,sisa_ndcg_before@5,sisa_unlearn_time,sisa_prec_after@5,sisa_ndcg_after@5
kmeans,2,,0.11235508446505467,0.1169259170196266,15.03,0.11235508446505467,0.1169259170196266,26.66,0.1776416031798609,0.18535004446384246,0.0,0.12166280225240146,0.1263763739464443
kmeans,5,,0.13792646571712486,0.14396350453027243,30.8,0.13792646571712486,0.14396350453027243,25.95,0.18019211659489898,0.19329458874409336,0.0,0.1531301755548195,0.16326373975467845
kmeans,10,,0.15753560781715803,0.16298878641710854,33.22,0.15753560781715803,0.16298878641710854,27.18,0.20052997681351445,0.2165027971435128,0.0,0.19387214309373968,0.20770582920640993
random,2,,0.10881086452467705,0.11325505927223774,20.06,0.10881086452467705,0.11325505927223774,25.01,0.17270619410400798,0.1812541765696527,0.0,0.122656508777741,0.1266055803865428
random,5,,0.1502484266313349,0.15590693642439835,31.51,0.1502484266313349,0.15590693642439835,27.58,0.16197416363034117,0.1679176531298244,0.0,0.14670420669095727,0.15217336531584458
random,10,,0.16588274263000996,0.17411934949154392,35.25,0.16588274263000996,0.17411934949154392,25.93,0.16505465385889365,0.17214512775960084,0.0,0.15736999006293476,0.16429985986765447
stratified,2,,0.11006955945677377,0.11411166429111115,19.73,0.11006955945677377,0.11411166429111115,29.73,0.17075190460417355,0.17649662562622132,0.0,0.12504140443855583,0.12725809204651692
stratified,5,,0.15180523352103345,0.15958349351414633,33.07,0.15180523352103345,0.15958349351414633,28.76,0.16459092414706855,0.16949507810112416,0.0,0.15028155018217954,0.1552351440619282
stratified,10,,0.15839682013911893,0.16642972534411185,37.09,0.15839682013911893,0.16642972534411185,27.48,0.16194104007949653,0.17043771218920187,0.0,0.1519046041735674,0.15936345121965628
